time,open,high,low,close,volume
2024-01-02,20.12,20.79,20.12,20.54,13896933
2024-01-03,20.58,21.0,20.37,21.0,9817807
2024-01-04,21.17,21.55,21.08,21.25,23605373
2024-01-05,21.25,21.38,21.04,21.38,9282598
2024-01-08,21.59,21.63,21.17,21.29,12398885
2024-01-09,21.21,21.29,20.96,21.0,15455964
2024-01-10,21.17,21.42,21.0,21.21,17610661
2024-01-11,21.34,21.63,21.13,21.21,9941849
2024-01-12,21.13,22.01,21.04,21.67,25574880
2024-01-15,21.84,21.84,21.25,21.25,11725544
2024-01-16,21.34,21.46,21.04,21.34,12385822
2024-01-17,21.38,21.67,21.29,21.34,9720759
2024-01-18,21.38,21.63,21.29,21.5,9616784
2024-01-19,21.67,21.8,21.55,21.8,12778025
2024-01-22,22.01,22.09,21.67,22.09,12010820
2024-01-23,22.05,22.22,21.88,21.88,11738886
2024-01-24,21.88,21.92,21.59,21.67,11347376
2024-01-25,21.71,21.76,21.5,21.67,5090360
2024-01-26,21.71,22.18,21.71,22.09,6861782
2024-01-29,22.26,22.26,21.8,21.8,9281301
2024-01-30,21.88,22.01,21.76,21.8,6383741
2024-01-31,21.92,21.92,21.46,21.63,12162755
2024-02-01,21.59,21.92,21.59,21.84,6284328
2024-02-02,21.8,22.09,21.71,22.05,14534871
2024-02-05,22.05,23.52,21.97,23.35,28138723
2024-02-06,23.39,23.44,23.23,23.39,5454327
2024-02-07,23.39,23.69,23.39,23.52,11903453
2024-02-15,23.56,23.86,22.85,22.85,14255094
2024-02-16,23.1,23.18,22.93,23.18,9502568
2024-02-19,23.27,23.27,22.85,23.27,11864502
2024-02-20,23.1,23.31,22.97,23.14,7321603
2024-02-21,23.1,23.44,23.02,23.27,10257725
2024-02-22,23.27,23.31,23.1,23.23,7407861
2024-02-23,23.27,23.86,22.93,22.93,25987605
2024-02-26,22.93,23.27,22.76,23.1,9791428
2024-02-27,23.27,23.27,22.97,23.18,12061563
2024-02-28,23.23,23.52,23.14,23.52,10465608
2024-02-29,23.6,23.73,23.27,23.52,9960379
2024-03-01,23.52,23.52,23.14,23.35,10201609
2024-03-04,23.35,23.69,23.02,23.35,13224034
2024-03-05,23.35,23.52,23.14,23.48,6339771
2024-03-06,23.52,23.65,23.14,23.18,9799350
2024-03-07,23.18,23.27,23.02,23.1,10171157
2024-03-08,23.1,23.23,22.68,22.72,23024715
2024-03-11,22.72,22.76,22.39,22.47,12023089
2024-03-12,22.39,22.55,22.34,22.47,8318885
2024-03-13,22.47,23.23,22.47,23.23,8940425
2024-03-14,23.18,23.18,22.72,22.89,8232737
